Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
13-Sep-2019,49450-012,Renewable Energy Project,TON,Tonga,Pacific,PARD,PAEN,Sovereign,,Project grant,Grant,0642,Cofinancing (Syndicated/Contractual),Australia,2.500,Energy,Energy,Dual-use,Medium,0.125,2.375,Investment,USD,https://www.adb.org/projects/49450-012/main
6-Nov-2019,49450-015,Increasing Access to Renewable Energy Project,TUV,Tuvalu,Pacific,PARD,PAEN,Sovereign,6.480,Project grant,Grant,0674,ADB funds,ADF,6.000,Energy,Energy,Dual-use,Medium,0.200,5.800,Investment,USD,https://www.adb.org/projects/49450-015/main
30-Sep-2019,50028-002,Pacific Disaster Resilience Program (Phase 2),REG (RMI),Regional (Marshall Islands),Pacific,PARD,PASP,Sovereign,24.000,Contingent Disaster Financing,Grant,0666,ADB funds,ADF,6.000,Public sector management,Public sector management,Adaptation,Low,2.400,,Investment,USD,https://www.adb.org/projects/50028-002/main
30-Sep-2019,50028-002,Pacific Disaster Resilience Program (Phase 2),REG (SOL),Regional (Solomon Islands),Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Loan,3830,ADB funds,Concessional OCR,3.000,Public sector management,Public sector management,Adaptation,Low,1.200,,Investment,USD,https://www.adb.org/projects/50028-002/main
30-Sep-2019,50028-002,Pacific Disaster Resilience Program (Phase 2),REG (SOL),Regional (Solomon Islands),Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0667,ADB funds,ADF,3.000,Public sector management,Public sector management,Adaptation,Low,1.200,,Investment,USD,https://www.adb.org/projects/50028-002/main
30-Sep-2019,50028-002,Pacific Disaster Resilience Program (Phase 2),REG (TON),Regional (Tonga),Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0668,ADB funds,ADF,6.000,Public sector management,Public sector management,Adaptation,Low,2.400,,Investment,USD,https://www.adb.org/projects/50028-002/main
30-Sep-2019,50028-002,Pacific Disaster Resilience Program (Phase 2),REG (FSM),Regional (Micronesia),Pacific,PARD,PASP,Sovereign,,Contingent Disaster Financing,Grant,0669,ADB funds,ADF,6.000,Public sector management,Public sector management,Adaptation,Low,2.400,,Investment,USD,https://www.adb.org/projects/50028-002/main
27-Sep-2019,51271-001,Urban Water Supply and Sanitation Sector Project,SOL,Solomon Islands,Pacific,PARD,PAUW,Sovereign,92.817,Sector loan,Loan,3826,ADB funds,Concessional OCR,28.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,4.312,,Investment,USD,https://www.adb.org/projects/51271-001/main
27-Sep-2019,51271-001,Urban Water Supply and Sanitation Sector Project,SOL,Solomon Islands,Pacific,PARD,PAUW,Sovereign,,Sector loan,Grant,0662,ADB funds,ADF,9.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,2.000,,Investment,USD,https://www.adb.org/projects/51271-001/main
27-Sep-2019,51271-001,Urban Water Supply and Sanitation Sector Project,SOL,Solomon Islands,Pacific,PARD,PAUW,Sovereign,,Sector loan,Grant,0663,Cofinancing (Syndicated/Contractual),European Union,20.347,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/51271-001/main
